Description,Degree,Connected Nodes
Pantothenate and CoA biosynthesis,12,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, beta-Alanine metabolism, Valine, leucine and isoleucine biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Propanoate metabolism, Valine, leucine and isoleucine degradation, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Biosynthesis of amino acids,11,"Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Valine, leucine and isoleucine biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Valine, leucine and isoleucine degradation, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
beta-Alanine metabolism,10,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Propanoate metabolism, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Nicotinate and nicotinamide metabolism,10,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Propanoate metabolism, Histidine metabolism, Aminoacyl-tRNA biosynthesis"
"Glycine, serine and threonine metabolism",9,"Biosynthesis of amino acids, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Cysteine and methionine metabolism,9,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Lysine biosynthesis,9,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Cysteine and methionine metabolism, Monobactam biosynthesis, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Monobactam biosynthesis,9,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Cysteine and methionine metabolism, Lysine biosynthesis, Histidine metabolism, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Histidine metabolism,9,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Aminoacyl-tRNA biosynthesis, Nicotinate and nicotinamide metabolism"
Aminoacyl-tRNA biosynthesis,9,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Cysteine and methionine metabolism, Lysine biosynthesis, Monobactam biosynthesis, Histidine metabolism, Nicotinate and nicotinamide metabolism"
"Valine, leucine and isoleucine biosynthesis",3,"Biosynthesis of amino acids, Pantothenate and CoA biosynthesis, Valine, leucine and isoleucine degradation"
Propanoate metabolism,3,"Pantothenate and CoA biosynthesis, beta-Alanine metabolism, Nicotinate and nicotinamide metabolism"
"Valine, leucine and isoleucine degradation",3,"Biosynthesis of amino acids, Pantothenate and CoA biosynthesis, Valine, leucine and isoleucine biosynthesis"
Plant hormone signal transduction,0,
Purine metabolism,0,
